date,close
2022-07-18,99.2779
2022-07-19,98.7424
2022-07-20,99.0015
2022-07-21,100.7119
2022-07-22,102.4049
2022-07-25,101.4029
2022-07-26,101.4807
2022-07-27,100.9105
2022-07-28,101.7139
2022-07-29,101.4375
2022-08-01,103.8804
2022-08-02,101.6824
2022-08-03,103.2833
2022-08-04,103.2487
2022-08-05,100.791
2022-08-08,102.418
2022-08-09,102.0199
2022-08-10,101.3535
2022-08-11,98.991
2022-08-12,99.9949
2022-08-15,99.9083
2022-08-16,100.3237
2022-08-17,99.2766
2022-08-18,99.4237
2022-08-19,97.8228
2022-08-22,97.4939
2022-08-23,96.9574
2022-08-24,96.2478
2022-08-25,97.5891
2022-08-26,98.3247
2022-08-29,97.5112
2022-08-30,97.7535
2022-08-31,96.8189
2022-09-01,95.0464
2022-09-02,95.584
2022-09-06,93.2165
2022-09-07,94.6908
2022-09-08,93.7195
2022-09-09,93.9276
2022-09-12,93.1558
2022-09-13,93.3726
2022-09-14,93.6935
2022-09-15,93.6328
2022-09-16,92.8523
2022-09-19,93.0691
2022-09-20,92.1412
2022-09-21,93.6848
2022-09-22,91.2913
2022-09-23,91.6642
2022-09-26,89.9125
2022-09-27,87.545
2022-09-28,90.4761
2022-09-29,90.0079
2022-09-30,88.8458
2022-10-03,90.2575
2022-10-04,90.0054
2022-10-05,89.1448
2022-10-06,88.6493
2022-10-07,87.7887
2022-10-10,86.424
2022-10-11,86.8065
2022-10-12,87.2324
2022-10-13,86.3979
2022-10-14,85.6851
2022-10-17,85.2678
2022-10-18,85.4678
2022-10-19,83.9117
2022-10-20,82.4774
2022-10-21,80.991
2022-10-24,80.3216
2022-10-25,82.66
2022-10-26,83.8509
2022-10-27,84.7289
2022-10-28,84.1465
2022-10-31,83.5467
2022-11-01,84.3274
2022-11-02,83.9614
2022-11-03,83.5083
2022-11-04,82.1053
2022-11-07,81.2862
2022-11-08,82.175
2022-11-09,82.4452
2022-11-10,85.6171
2022-11-11,85.3034
2022-11-14,85.0943
2022-11-15,86.4711
2022-11-16,88.3621
2022-11-17,87.4297
2022-11-18,86.8284
2022-11-21,87.1944
2022-11-22,88.4318
2022-11-23,89.9743
2022-11-25,89.6693
2022-11-28,89.922
2022-11-29,88.8676
2022-11-30,89.5211
2022-12-01,92.3809
2022-12-02,93.5427
2022-12-05,92.2324
2022-12-06,93.4204
2022-12-07,95.6216
2022-12-08,95.3596
2022-12-09,92.8788
2022-12-12,93.1758
2022-12-13,94.0755
2022-12-14,94.4773
2022-12-15,94.846
2022-12-16,93.7865
2022-12-19,92.2104
2022-12-20,90.573
2022-12-21,90.8007
2022-12-22,90.7831
2022-12-23,89.4522
2022-12-27,87.6835
2022-12-28,87.1669
2022-12-29,88.1563
2022-12-30,87.1756
2023-01-03,88.8393
2023-01-04,90.0564
2023-01-05,90.4329
2023-01-06,92.0966
2023-01-09,92.5869
2023-01-10,91.0546
2023-01-11,92.5344
2023-01-12,94.3556
2023-01-13,93.4713
2023-01-17,92.8671
2023-01-18,95.1174
2023-01-19,94.522
2023-01-20,92.9897
2023-01-23,92.5519
2023-01-24,93.8828
2023-01-25,94.1105
2023-01-26,93.6726
2023-01-27,93.4362
2023-01-30,93.0947
2023-01-31,93.839
2023-02-01,94.9671
2023-02-02,95.09
2023-02-03,93.6678
2023-02-06,92.9743
2023-02-07,92.2281
2023-02-08,92.6671
2023-02-09,91.7892
2023-02-10,90.7621
2023-02-13,91.5258
2023-02-14,91.3152
2023-02-15,90.4636
2023-02-16,89.182
2023-02-17,89.8755
2023-02-21,88.1285
2023-02-22,88.9362
2023-02-23,89.8052
2023-02-24,88.6377
2023-02-27,88.8835
2023-02-28,89.2873
2023-03-01,88.3281
2023-03-02,87.5449
2023-03-03,89.6657
2023-03-06,88.9705
2023-03-07,89.5161
2023-03-08,89.6041
2023-03-09,89.8241
2023-03-10,92.9218
2023-03-13,93.133
2023-03-14,91.6018
2023-03-15,93.3706
2023-03-16,92.6402
